PRODUKT_CODE;STATION_ID;ZEITSTEMPEL;WERT;QN;QB
N_MN008;13674;201801171200;8;3;0
N_MN008;13674;201801171300;7;3;0
N_MN008;13674;201801171400;8;3;0
N_MN008;13674;201801171500;8;3;0
N_MN008;13674;201801171600;7;3;0
N_MN008;13674;201801171700;8;3;0
N_MN008;13674;201801171800;6;3;0
N_MN008;13674;201801171900;7;3;0
N_MN008;13674;201801172000;7;3;0
N_MN008;13674;201801172100;8;3;0
N_MN008;13674;201801172200;8;3;0
N_MN008;13674;201801172300;8;3;0
N_MN008;13674;201801180000;7;3;0
N_MN008;13674;201801180100;7;3;0
N_MN008;13674;201801180200;7;3;0
N_MN008;13674;201801180300;7;3;0
N_MN008;13674;201801180400;7;3;0
N_MN008;13674;201801180500;8;3;0
N_MN008;13674;201801180600;7;3;0
N_MN008;13674;201801180700;8;3;0
N_MN008;13674;201801180800;8;3;0
N_MN008;13674;201801180900;7;3;0
N_MN008;13674;201801181000;8;3;0
N_MN008;13674;201801181100;7;3;0
N_MN008;13674;201801181200;8;3;0
N_MN008;13674;201801181300;8;3;0
N_MN008;13674;201801181400;8;3;0
N_MN008;13674;201801181500;7;3;0
N_MN008;13674;201801181600;8;3;0
N_MN008;13674;201801181700;7;3;0
N_MN008;13674;201801181800;8;3;0
N_MN008;13674;201801181900;7;3;0
N_MN008;13674;201801182000;8;3;0
N_MN008;13674;201801182100;6;3;0
N_MN008;13674;201801182200;7;3;0
N_MN008;13674;201801182300;8;3;0
N_MN008;13674;201801190000;8;3;0
N_MN008;13674;201801190100;7;3;0
N_MN008;13674;201801190200;7;3;0
N_MN008;13674;201801190300;8;3;0
N_MN008;13674;201801190400;8;3;0
N_MN008;13674;201801190500;8;3;0
N_MN008;13674;201801190600;7;3;0
N_MN008;13674;201801190700;8;3;0
N_MN008;13674;201801190800;7;3;0
N_MN008;13674;201801190900;8;3;0
N_MN008;13674;201801191000;8;3;0
N_MN008;13674;201801191100;6;3;0
N_MN008;13674;201801191200;1;3;0
N_MN008;13674;201801191300;1;3;0
N_MN008;13674;201801191400;5;3;0
N_MN008;13674;201801191500;7;3;0
N_MN008;13674;201801191600;7;3;0
N_MN008;13674;201801191800;7;3;0
N_MN008;13674;201801191900;7;3;0
N_MN008;13674;201801192000;7;3;0
N_MN008;13674;201801192100;7;3;0
N_MN008;13674;201801192200;6;3;0
N_MN008;13674;201801192300;7;3;0
N_MN008;13674;201801200000;8;3;0
N_MN008;13674;201801200100;8;3;0
N_MN008;13674;201801200200;7;3;0
N_MN008;13674;201801200300;8;3;0
N_MN008;13674;201801200400;7;3;0
N_MN008;13674;201801200500;7;3;0
N_MN008;13674;201801200600;7;3;0
N_MN008;13674;201801200700;6;3;0
N_MN008;13674;201801200800;8;3;0
N_MN008;13674;201801200900;7;3;0
N_MN008;13674;201801201000;7;3;0
N_MN008;13674;201801201100;7;3;0
N_MN008;13674;201801201200;7;3;0
N_MN008;13674;201801201300;2;3;0
N_MN008;13674;201801201400;7;3;0
N_MN008;13674;201801201500;8;3;0
N_MN008;13674;201801201600;7;3;0
N_MN008;13674;201801201700;7;3;0
N_MN008;13674;201801201800;8;3;0
N_MN008;13674;201801201900;8;3;0
N_MN008;13674;201801202000;7;3;0
N_MN008;13674;201801202100;7;3;0
N_MN008;13674;201801202200;7;3;0
N_MN008;13674;201801202300;8;3;0
N_MN008;13674;201801210000;7;3;0
N_MN008;13674;201801210100;7;3;0
N_MN008;13674;201801210200;7;3;0
N_MN008;13674;201801210300;7;3;0
N_MN008;13674;201801210400;7;3;0
N_MN008;13674;201801210500;7;3;0
N_MN008;13674;201801210600;8;3;0
N_MN008;13674;201801210700;8;3;0
N_MN008;13674;201801210800;7;3;0
N_MN008;13674;201801210900;5;3;0
N_MN008;13674;201801211000;4;3;0
N_MN008;13674;201801211100;7;3;0
N_MN008;13674;201801211200;8;3;0
N_MN008;13674;201801211300;8;3;0
N_MN008;13674;201801211400;7;3;0
N_MN008;13674;201801211500;8;3;0
N_MN008;13674;201801211600;7;3;0
N_MN008;13674;201801211700;8;3;0
N_MN008;13674;201801211800;8;3;0
N_MN008;13674;201801211900;8;3;0
N_MN008;13674;201801212000;8;3;0
N_MN008;13674;201801212100;8;3;0
N_MN008;13674;201801212200;7;3;0
N_MN008;13674;201801212300;4;3;0
N_MN008;13674;201801220100;8;3;0
N_MN008;13674;201801220200;7;3;0
N_MN008;13674;201801220300;7;3;0
N_MN008;13674;201801220400;7;3;0
N_MN008;13674;201801220500;8;3;0
N_MN008;13674;201801220600;8;3;0
N_MN008;13674;201801220700;8;3;0
N_MN008;13674;201801220800;7;3;0
N_MN008;13674;201801220900;8;3;0
N_MN008;13674;201801221000;7;3;0
N_MN008;13674;201801221100;8;3;0
N_MN008;13674;201801221200;8;3;0
N_MN008;13674;201801221300;8;3;0
N_MN008;13674;201801221400;8;3;0
N_MN008;13674;201801221500;6;3;0
N_MN008;13674;201801221600;8;3;0
N_MN008;13674;201801221700;7;3;0
N_MN008;13674;201801221800;7;3;0
N_MN008;13674;201801221900;8;3;0
N_MN008;13674;201801222000;8;3;0
N_MN008;13674;201801222100;8;3;0
N_MN008;13674;201801222200;8;3;0
N_MN008;13674;201801222300;8;3;0
N_MN008;13674;201801230000;8;3;0
N_MN008;13674;201801230100;8;3;0
N_MN008;13674;201801230200;8;3;0
N_MN008;13674;201801230300;8;3;0
N_MN008;13674;201801230400;8;3;0
N_MN008;13674;201801230500;8;3;0
N_MN008;13674;201801230600;8;3;0
N_MN008;13674;201801230700;8;3;0
N_MN008;13674;201801230800;8;3;0
N_MN008;13674;201801230900;8;3;0
N_MN008;13674;201801231000;7;3;0
N_MN008;13674;201801231100;8;3;0
N_MN008;13674;201801231200;8;3;0
N_MN008;13674;201801231300;8;3;0
N_MN008;13674;201801231400;7;3;0
N_MN008;13674;201801231500;8;3;0
N_MN008;13674;201801231600;8;3;0
N_MN008;13674;201801231700;8;3;0
N_MN008;13674;201801231800;8;3;0
N_MN008;13674;201801231900;8;3;0
N_MN008;13674;201801232000;8;3;0
N_MN008;13674;201801232100;8;3;0
N_MN008;13674;201801232200;8;3;0
N_MN008;13674;201801232300;8;3;0
N_MN008;13674;201801240000;8;3;0
N_MN008;13674;201801240100;8;3;0
N_MN008;13674;201801240200;8;3;0
N_MN008;13674;201801240300;8;3;0
N_MN008;13674;201801240400;8;3;0
N_MN008;13674;201801240500;8;3;0
N_MN008;13674;201801240600;8;3;0
N_MN008;13674;201801240700;7;3;0
N_MN008;13674;201801240800;8;3;0
N_MN008;13674;201801240900;8;3;0
N_MN008;13674;201801241000;8;3;0
N_MN008;13674;201801241100;8;3;0
N_MN008;13674;201801241200;8;3;0
N_MN008;13674;201801241300;8;3;0
N_MN008;13674;201801241400;7;3;0
N_MN008;13674;201801241500;8;3;0
N_MN008;13674;201801241600;8;3;0
N_MN008;13674;201801241700;8;3;0
N_MN008;13674;201801241800;7;3;0
N_MN008;13674;201801241900;8;3;0
N_MN008;13674;201801242000;8;3;0
N_MN008;13674;201801242100;8;3;0
N_MN008;13674;201801242200;8;3;0
N_MN008;13674;201801242300;8;3;0
N_MN008;13674;201801250000;8;3;0
N_MN008;13674;201801250100;8;3;0
N_MN008;13674;201801250200;8;3;0
N_MN008;13674;201801250300;8;3;0
N_MN008;13674;201801250400;8;3;0
N_MN008;13674;201801250500;8;3;0
N_MN008;13674;201801250600;8;3;0
N_MN008;13674;201801250700;8;3;0
N_MN008;13674;201801250800;8;3;0
N_MN008;13674;201801250900;8;3;0
N_MN008;13674;201801251000;8;3;0
N_MN008;13674;201801251100;8;3;0
N_MN008;13674;201801251200;8;3;0
N_MN008;13674;201801251300;8;3;0
N_MN008;13674;201801251400;8;3;0
N_MN008;13674;201801251500;8;3;0
N_MN008;13674;201801251600;7;3;0
N_MN008;13674;201801251700;8;3;0
N_MN008;13674;201801251800;8;3;0
N_MN008;13674;201801251900;8;3;0
N_MN008;13674;201801252000;7;3;0
N_MN008;13674;201801252100;8;3;0
N_MN008;13674;201801252200;8;3;0
N_MN008;13674;201801252300;8;3;0
N_MN008;13674;201801260000;8;3;0
N_MN008;13674;201801260100;7;3;0
N_MN008;13674;201801260200;8;3;0
N_MN008;13674;201801260300;8;3;0
N_MN008;13674;201801260400;8;3;0
N_MN008;13674;201801260500;7;3;0
N_MN008;13674;201801260600;7;3;0
N_MN008;13674;201801260700;7;3;0
N_MN008;13674;201801260800;8;3;0
N_MN008;13674;201801260900;8;3;0
N_MN008;13674;201801261000;7;3;0
N_MN008;13674;201801261100;6;3;0
N_MN008;13674;201801261200;7;3;0
N_MN008;13674;201801261300;7;3;0
N_MN008;13674;201801261400;7;3;0
N_MN008;13674;201801261500;7;3;0
N_MN008;13674;201801261600;7;3;0
N_MN008;13674;201801261700;7;3;0
N_MN008;13674;201801261800;8;3;0
N_MN008;13674;201801261900;8;3;0
N_MN008;13674;201801262200;7;3;0
N_MN008;13674;201801262300;8;3;0
N_MN008;13674;201801270000;8;3;0
N_MN008;13674;201801270100;8;3;0
N_MN008;13674;201801270200;7;3;0
N_MN008;13674;201801270300;8;3;0
N_MN008;13674;201801270400;8;3;0
N_MN008;13674;201801270500;8;3;0
N_MN008;13674;201801270600;8;3;0
N_MN008;13674;201801270700;8;3;0
N_MN008;13674;201801270800;8;3;0
N_MN008;13674;201801270900;8;3;0
N_MN008;13674;201801271000;8;3;0
N_MN008;13674;201801271100;8;3;0
N_MN008;13674;201801271200;8;3;0
N_MN008;13674;201801271300;8;3;0
N_MN008;13674;201801271400;7;3;0
N_MN008;13674;201801271500;8;3;0
N_MN008;13674;201801271600;7;3;0
N_MN008;13674;201801271700;7;3;0
N_MN008;13674;201801271800;8;3;0
N_MN008;13674;201801271900;8;3;0
N_MN008;13674;201801272000;7;3;0
N_MN008;13674;201801272100;7;3;0
N_MN008;13674;201801272200;7;3;0
N_MN008;13674;201801272300;7;3;0
N_MN008;13674;201801280000;7;3;0
N_MN008;13674;201801280100;5;3;0
N_MN008;13674;201801280200;8;3;0
N_MN008;13674;201801280300;8;3;0
N_MN008;13674;201801280400;8;3;0
N_MN008;13674;201801280500;7;3;0
N_MN008;13674;201801280600;8;3;0
N_MN008;13674;201801280700;8;3;0
N_MN008;13674;201801280800;7;3;0
N_MN008;13674;201801280900;7;3;0
N_MN008;13674;201801281000;8;3;0
N_MN008;13674;201801281100;8;3;0
N_MN008;13674;201801281200;8;3;0
N_MN008;13674;201801281300;8;3;0
N_MN008;13674;201801281400;7;3;0
N_MN008;13674;201801281500;7;3;0
N_MN008;13674;201801281600;8;3;0
N_MN008;13674;201801281700;7;3;0
N_MN008;13674;201801281800;7;3;0
N_MN008;13674;201801281900;8;3;0
N_MN008;13674;201801282000;8;3;0
N_MN008;13674;201801282100;8;3;0
N_MN008;13674;201801282200;8;3;0
N_MN008;13674;201801282300;8;3;0
N_MN008;13674;201801290000;8;3;0
