PRODUKT_CODE;STATION_ID;ZEITSTEMPEL;WERT;QN;QB
R1_MN008;5906;201712010000;0;3;0
R1_MN008;5906;201712010100;0;3;0
R1_MN008;5906;201712010200;0;3;0
R1_MN008;5906;201712010300;0;3;0
R1_MN008;5906;201712010400;0;3;0
R1_MN008;5906;201712010500;0;3;0
R1_MN008;5906;201712010600;0;3;0
R1_MN008;5906;201712010700;0;3;0
R1_MN008;5906;201712010800;0;3;0
R1_MN008;5906;201712010900;0;3;0
R1_MN008;5906;201712011000;0.1;3;0
R1_MN008;5906;201712011100;0.2;3;0
R1_MN008;5906;201712011200;0;3;0
R1_MN008;5906;201712011300;0.2;3;0
R1_MN008;5906;201712011400;0.3;3;0
R1_MN008;5906;201712011500;0;3;0
R1_MN008;5906;201712011600;0;3;0
R1_MN008;5906;201712011700;0;3;0
R1_MN008;5906;201712011800;0;3;0
R1_MN008;5906;201712011900;0;3;0
R1_MN008;5906;201712012000;0;3;0
R1_MN008;5906;201712012100;0;3;0
R1_MN008;5906;201712012200;0;3;0
R1_MN008;5906;201712012300;0;3;0
R1_MN008;5906;201712020000;0;3;0
R1_MN008;5906;201712020100;0;3;0
R1_MN008;5906;201712020200;0;3;0
R1_MN008;5906;201712020300;0;3;0
R1_MN008;5906;201712020400;0;3;0
R1_MN008;5906;201712020500;0;3;0
R1_MN008;5906;201712020600;0;3;0
R1_MN008;5906;201712020700;0;3;0
R1_MN008;5906;201712020800;0;3;0
R1_MN008;5906;201712020900;0;3;0
R1_MN008;5906;201712021000;0;3;0
R1_MN008;5906;201712021100;0;3;0
R1_MN008;5906;201712021200;0;3;0
R1_MN008;5906;201712021300;0;3;0
R1_MN008;5906;201712021400;0;3;0
R1_MN008;5906;201712021500;0;3;0
R1_MN008;5906;201712021600;0;3;0
R1_MN008;5906;201712021700;0;3;0
R1_MN008;5906;201712021800;0;3;0
R1_MN008;5906;201712021900;0;3;0
R1_MN008;5906;201712022000;0;3;0
R1_MN008;5906;201712022100;0;3;0
R1_MN008;5906;201712022200;0;3;0
R1_MN008;5906;201712022300;0;3;0
R1_MN008;5906;201712030000;0;3;0
R1_MN008;5906;201712030100;0;3;0
R1_MN008;5906;201712030200;0;3;0
R1_MN008;5906;201712030300;0;3;0
R1_MN008;5906;201712030400;0;3;0
R1_MN008;5906;201712030500;0;3;0
R1_MN008;5906;201712030600;0;3;0
R1_MN008;5906;201712030700;0;3;0
R1_MN008;5906;201712030800;0;3;0
R1_MN008;5906;201712030900;0;3;0
R1_MN008;5906;201712031000;0.2;3;0
R1_MN008;5906;201712031100;0.4;3;0
R1_MN008;5906;201712031200;0.6;3;0
R1_MN008;5906;201712031300;0.4;3;0
R1_MN008;5906;201712031400;0.6;3;0
R1_MN008;5906;201712031500;0.7;3;0
R1_MN008;5906;201712031600;0.3;3;0
R1_MN008;5906;201712031700;0.3;3;0
R1_MN008;5906;201712031800;0.3;3;0
R1_MN008;5906;201712031900;0.3;3;0
R1_MN008;5906;201712032000;0.6;3;0
R1_MN008;5906;201712032100;0.1;3;0
R1_MN008;5906;201712032200;0;3;0
R1_MN008;5906;201712032300;0.2;3;0
R1_MN008;5906;201712040000;0;3;0
R1_MN008;5906;201712040100;0;3;0
R1_MN008;5906;201712040200;0;3;0
