y;m;d
2017;12;3
2017;12;6
2017;12;10
2017;12;17
2017;12;22
2017;12;23
2017;12;24
2017;12;25
2017;12;26
2017;12;27
2017;12;28
2017;12;29
2017;12;30
2017;12;31
2018;1;1
2018;1;2
2018;1;3
2018;1;4
2018;1;5
2018;1;6
2018;2;10
2018;2;11
2018;2;12
2018;2;13
2018;2;14
2018;2;15
2018;2;16
2018;2;17
2018;2;18
2018;3;24
2018;3;25
2018;3;26
2018;3;27
2018;3;28
2018;3;29
2018;3;30
2018;4;1
2018;4;2
2018;4;3
2018;4;4
2018;4;5
2018;4;6
2018;4;7
2018;4;8
2018;5;22
2018;5;23
2018;5;24
2018;5;25
2018;5;26
2018;5;27
2018;5;28
2018;5;29
2018;5;30
2018;5;31
2018;6;1
2018;6;2
2018;6;3
2018;6;10
2018;6;13
2018;6;20
2018;6;21
2018;6;31
2018;7;26
2018;7;27
2018;7;28
2018;7;29
2018;7;30
2018;7;31
2018;8;1
