Beherbergung im Reiseverkehr 2017 nach Monaten*);;;;;;;;;
Stadtkreis Heidelberg ;;;;;;;;;
Monat;;Ankünfte;;;;Übernachtungen;;;
;;insgesamt;Veränderung gegenüber Vorjahr in %;"darunter von 
Auslandsgästen";Veränderung gegenüber Vorjahr in %;insgesamt;Veränderung gegenüber Vorjahr in %;"darunter von
 Auslandsgästen";Veränderung gegenüber Vorjahr in %
12;2017;60.627;6,0;18.591;2,2;112.889;5,3;36.321;-2,7
1;2018;38.554;2,9;11.605;-6,4;75.648;4,1;25.371;-2,5
2;2018;42.004;6,0;13.985;1,2;82.300;3,1;29.125;-2,0
3;2018;56.720;4,0;18.008;8,8;112.360;4,6;37.899;6,8
4;2018;67.904;11,3;21.607;7,6;131.657;10,9;44.386;12,3
5;2018;72.134;2,6;22.800;-2,1;139.243;5,0;45.920;-0,3
6;2018;78.580;11,7;26.424;7,4;154.264;18,5;55.049;22,0
7;2018;78.186;3,4;31.077;-2,9;146.007;-3,5;60.202;-11,6
8;2018;72.494;4,2;30.556;6,9;144.001;4,5;61.418;5,9
